No.,Country,Centres,Town
1,Austria,Brustgesundheitszentrum des Tumorzentrums Ober�sterreich,Linz
2,Austria,"Medical University Innsbruck, Dept. of Gynecology and Obstetrics",Innsbruck
3,Austria,KH Barmherzige Schwestern Linz,Linz
4,Austria,Breast Center at Dept. of Senology - Paracelsus Medical University of Salzburg,Salzburg
5,Austria,Medical University Vienna - Breast Health Center,Vienna
1,Belgium,Onze Lieve Vrouwziekenhuis,Aalst
2,Belgium,Breast Centre Voorkempen,Brasschaat
3,Belgium,CHU St. Pierre,Brussels
4,Belgium,Cliniques universitaires Saint-Luc / Institut Roi Albert II,Brussels
5,Belgium,AZ Groeninge,Kortrijk
6,Belgium,CHR Citadelle,Li�ge
7,Belgium,Sint Augustinus Hospital,Wilrijk
8,Belgium,Breast Clinic ZNA Middelheim,Antwerp
9,Belgium,AZ Sint-Jan AV Hospital,Brugge
10,Belgium,AZ Sint-Lucas Brugge,Brugge
11,Belgium,Chirec,Brussels
12,Belgium,Erasme Hospital Free University of Brussels,Brussels
13,Belgium,H�pitaux Iris Sud - Ixelles,Brussels
14,Belgium,AZ Sint-Blasius,Dendermonde
15,Belgium,Antwerp University Hospital - University of Antwerpen,Edegem
16,Belgium,AZ Maria Middelares,Gent
17,Belgium,University Hospital Ghent,Ghent
18,Belgium,CH Jolimont,Haine Saint Paul
19,Belgium,Jessa Hospital,Hasselt
20,Belgium,University Hospitals Leuven,Leuven
21,Belgium,Centre Hospitalier Universitaire du Sart-Tilman,Li�ge
22,Belgium,CHC - Centre Hospitalier Chr�tien,Li�ge
23,Belgium,CHU UCL NAMUR - Sainte Elisabeth,Namur
24,Belgium,Clinique Saint Pierre,Ottignies-Louvain la Neuve
1,Bosnia and Herzegovina,"University Clinical Center Banja Luka, Breast Center",Banja Luka
2,Bosnia and Herzegovina,Surgical Oncology/Clinical Center Sarajevo,Sarajevo
1,Bulgaria,Hospital Sv. Georgi,Plovdiv
2,Bulgaria,Alexandrovska Hospital,Sofia
3,Bulgaria,Military Medical Academy Sofia,Sofia
4,Bulgaria,University Hospital 'Tsaritza Yoanna - ISUL',Sofia
1,Croatia,Clinical Hospital Centre Rijeka,Rijeka
2,Croatia,"University Hospital for Tumors, University Hospital Center Sestre Milosrdnice",Zagreb
1,Cyprus,American Breast Center,Nicosia
2,Cyprus,Nicosia General Hospital/Bank of Cyprus Oncology Centre,Nicosia
3,Cyprus,The Breast Center of Cyprus,Nicosia
1,Czechia,Masaryk Memorial Cancer Insitute,Brno
1,Estonia,North Estonian Regional Centre,Tallinn
1,France,"Groupe Hospitalier Avicenne-Jean Verdier, CHU de Paris-Seine-Saint-Denis",Bobigny
2,France,Centre Oscar Lambret,Lille Cedex
3,France,H�pital Saint-Louis,Paris
1,Germany,Brustzentrum Marienhospital Bottrop,Bottrop
2,Germany,"Brustkrebszentrum der UMG,University Hospital of the University of G�ttingen",G�ttingen
3,Germany,Marienhospital Aachen - Brustcentrum,Aachen
4,Germany,Universitaets-Brustzentrum Franken (UBF) - Frauenklinik at Universitaetsklinikum Erlangen,Erlangen
5,Germany,Agaplesion Markus Krankenhaus,Frankfurt
6,Germany,Breast Unit - University of Heidelberg,Heidelberg
7,Germany,Breast Center at Gynaecology and Obstetrics - Klinikum St. Georg,Leipzig
8,Germany,Interdisciplinary Breast Center (IBZ) at Frauenklinik RdI Technische Universitaet Muenchen,Muenchen
1,Greece,'Alexandra' Hospital - Athens University Medical School,Athens
2,Greece,Athens Medical Center,Athens
3,Greece,Prolipsis Breast Unit,Athens
4,Greece,REA Maternity Hospital,Athens
5,Greece,IASO,"Marousi, Athens"
6,Greece,Mitera Hospital S.A.,"Marousi, Athens"
7,Greece,Metaxa Cancer Hospital,Piraeus
8,Greece,Genesis Hospital,Thessaloniki
1,Hungary,National Institute of Oncology,Budapest
2,Hungary,University of Szeged - Dept. of Oncotherapy,Szeged
1,Ireland,University Hospital Waterford,Waterford City
1,Italy,Azienda Ospedaliero-Universitaria di Bologna Policlinico S.Orsola-Malpighi,Bologna
2,Italy,Fondazione Poliambulanza,Brescia
3,Italy,Istituto Clinico S. Anna,Brescia
4,Italy,Breast Centre AULSS 9 Scaligera c/o Dept. of Medical Oncology Mater Salutis Hospital,Legnago
5,Italy,Breast Center Humanitas Cancer Center,Milan
6,Italy,European Institute of Oncology,Milano
7,Italy,Senologia Multimedica,Milano
8,Italy,Breast Centre Humanitas Catania,Misterbianco
9,Italy,G. Bernabeo Hospital,Ortona
10,Italy,Fondazione IRCCS Policlinico San Matteo,Pavia
11,Italy,Infermi Hospital - Rimini - Ausl Romagna,Rimini
12,Italy,San Giovanni Addolorata Hospital,Rome
13,Italy,ASUGI - SSD Breast Unit,Trieste
14,Italy,San Donato Hospital - Azienda USL TOSCANA SUDEST Arezzo,Arezzo
15,Italy,Santa Maria Annunziata Hospital/Breast Unit / Azienda Sanitaria di Firenze,Bagno a Ripoli
16,Italy,Breast Unit ASL BA - Osp. S. Paolo - Bari,Bari
17,Italy,Istituto Tumori 'Giovanni Paolo II' - I.R.C.C.S. Bari,Bari
18,Italy,Istituto Clinico Humanitas Gavazzeni,Bergamo
19,Italy,Spedali Civili - Breast Unit,Brescia
20,Italy,Ospedale Perrino,Brindisi
21,Italy,"Candiolo Cancer Institute - FPO, IRCCS",Candiolo
22,Italy,Ospedale di Carpi,Carpi
23,Italy,Humanitas Mater Domini,Castellanza
24,Italy,Unit� di Senologia Ospedale Valduce,Como
25,Italy,Azienda Istituti Ospitalieri di Cremona,Cremona
26,Italy,Azienda Ospedaliero Universitaria Careggi - Firenze,Firenze
27,Italy,San Martino Polyclinic Hospital,Genova
28,Italy,Ospedale Civile San Salvatore,L'Aquila
29,Italy,ASST Mantova,Mantova
30,Italy,IRCCS Ospedale San Raffaele,Milano
31,Italy,University-Hospital Polyclinic,Modena
32,Italy,"Centro Donna, Ospedale Montecchio Maggiore",Montecchio Maggiore
33,Italy,Policlinico di Monza,Monza
34,Italy,San Gerardo Hospital,Monza
35,Italy,Ospedale Sacro Cuore Don Calabria,Negrar
36,Italy,Azienda Ospedaliero-Universitaria di Parma,Parma
37,Italy,Salvatore Maugeri Foundation,Pavia
38,Italy,Azienda Ospedaliera di Perugia,Perugia
39,Italy,Ospedale Civile 'Guglielmo Da Saliceto',Piacenza
40,Italy,Azienda Ospedaliero-Universitaria Di Pisa - Ospedale S. Chiara,Pisa
41,Italy,Ospedale di Prato ASL Centro,Prato
42,Italy,Arcispedale Santa Maria Nuova,Reggio Emilia
43,Italy,A.O. San Camillo - Forlanini,Rome
44,Italy,Campus Bio-Medico University Hospital,Rome
45,Italy,Policlinico Militare Celio,Rome
46,Italy,S. Andrea Hospital Sapienza Rome University,Rome
47,Italy,Regina Pacis Clinic,San Cataldo
48,Italy,Azienda Ospedaliera Sant'Anna,San Fermo della Battaglia
49,Italy,Casa Sollievo della Sofferenza,San Giovanni Rotondo
50,Italy,Civic Hospital of Sanremo ASL 1 Imperiese,Sanremo
51,Italy,Asst Bergamo Est,Seriate
52,Italy,Azienda Ospedaliera 'Santa Maria' Terni,Terni
1,Latvia,"Pauls Stradins Clinical University Hospital, Breast Unit",Riga
2,Latvia,Riga East University Hospital/Latvian Oncology Centre,Riga
1,Lithuania,Hospital of Lithuanian University of Health Sciences,Kaunas
1,Malta,"Agatha Breast Unit, Mater Dei Hospital","Tal Qroqq, Msida"
1,Netherlands,The Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital,Amsterdam
2,Netherlands,Alexander Monro Breast Cancer Hospital,"Bilthoven, Utrecht"
3,Netherlands,University Medical Centre Groningen,Groningen
